"continent_level","date","cases","new_cases","deaths","new_deaths","days_since_death10","days_since_case100","continent"
"Africa",2020-02-14,1,1,0,0,0,0,"Africa"
"Africa",2020-02-15,1,0,0,0,0,0,"Africa"
"Africa",2020-02-16,1,0,0,0,0,0,"Africa"
"Africa",2020-02-17,1,0,0,0,0,0,"Africa"
"Africa",2020-02-18,1,0,0,0,0,0,"Africa"
"Africa",2020-02-19,1,0,0,0,0,0,"Africa"
"Africa",2020-02-20,1,0,0,0,0,0,"Africa"
"Africa",2020-02-21,1,0,0,0,0,0,"Africa"
"Africa",2020-02-22,1,0,0,0,0,0,"Africa"
"Africa",2020-02-23,1,0,0,0,0,0,"Africa"
"Africa",2020-02-24,1,0,0,0,0,0,"Africa"
"Africa",2020-02-25,2,1,0,0,0,0,"Africa"
"Africa",2020-02-26,2,0,0,0,0,0,"Africa"
"Africa",2020-02-27,2,0,0,0,0,0,"Africa"
"Africa",2020-02-28,3,1,0,0,0,0,"Africa"
"Africa",2020-02-29,3,0,0,0,0,0,"Africa"
"Africa",2020-03-01,4,1,0,0,0,0,"Africa"
"Africa",2020-03-02,8,4,0,0,0,0,"Africa"
"Africa",2020-03-03,11,3,0,0,0,0,"Africa"
"Africa",2020-03-04,21,10,0,0,0,0,"Africa"
"Africa",2020-03-05,24,3,0,0,0,0,"Africa"
"Africa",2020-03-06,43,19,0,0,0,0,"Africa"
"Africa",2020-03-07,43,0,0,0,0,0,"Africa"
"Africa",2020-03-08,83,40,1,1,0,0,"Africa"
"Africa",2020-03-09,91,8,1,0,0,0,"Africa"
"Africa",2020-03-10,104,13,2,1,0,1,"Africa"
"Africa",2020-03-11,118,14,2,0,0,2,"Africa"
"Africa",2020-03-12,134,16,3,1,0,3,"Africa"
"Africa",2020-03-13,177,43,6,3,0,4,"Africa"
"Africa",2020-03-14,254,77,7,1,0,5,"Africa"
"Africa",2020-03-15,313,59,8,1,0,6,"Africa"
"Africa",2020-03-16,400,87,8,0,0,7,"Africa"
"Africa",2020-03-17,484,84,11,3,1,8,"Africa"
"Africa",2020-03-18,601,117,17,6,2,9,"Africa"
"Africa",2020-03-19,781,180,20,3,3,10,"Africa"
"Africa",2020-03-20,969,188,26,6,4,11,"Africa"
"Africa",2020-03-21,1172,203,36,10,5,12,"Africa"
"Africa",2020-03-22,1437,265,48,12,6,13,"Africa"
"Africa",2020-03-23,1818,381,57,9,7,14,"Africa"
"Africa",2020-03-24,2250,432,64,7,8,15,"Africa"
