"country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"Afghanistan",2020-05-02,102,2469,134,72,4,331,21,2066,6.3,0.3,5.3,37,27
"Albania",2020-05-02,102,789,7,31,0,519,31,239,27.4,0.2,8.3,41,36
"Algeria",2020-05-02,102,4295,141,459,6,1872,51,1964,9.8,0.3,4.5,43,44
"Andorra",2020-05-02,102,747,2,44,1,472,4,231,970.1,2.6,300,42,33
"Angola",2020-05-02,102,35,5,2,0,11,0,22,0.1,0,0.1,0,0
"Antigua and Barbuda",2020-05-02,102,25,0,3,0,15,0,7,25.5,0,7.1,0,0
"Argentina",2020-05-02,102,4681,149,237,12,1320,28,3124,10.4,0.3,6.9,44,37
"Armenia",2020-05-02,102,2273,125,33,0,1010,33,1230,76.7,4.2,41.5,45,24
"Australia",2020-05-02,102,6799,21,94,1,5814,39,891,26.7,0.1,3.5,54,38
"Austria",2020-05-02,102,15558,27,596,7,13180,70,1782,172.8,0.3,19.8,56,42
"Azerbaijan",2020-05-02,102,1894,40,25,0,1411,46,458,18.7,0.4,4.5,38,23
"Bahrain",2020-05-02,102,3284,114,8,0,1568,13,1708,192.9,6.7,100.4,54,0
"Bangladesh",2020-05-02,102,8790,552,175,5,177,3,8438,5.3,0.3,5.1,27,27
"Barbados",2020-05-02,102,81,0,7,0,44,5,30,28.2,0,10.5,0,0
"Belarus",2020-05-02,102,15828,911,97,4,3117,199,12614,167.5,9.6,133.5,34,27
"Belgium",2020-05-02,102,49517,485,7765,62,12211,319,29541,427.2,4.2,254.9,58,47
"Belize",2020-05-02,102,18,0,2,0,13,0,3,4.5,0,0.8,0,0
"Benin",2020-05-02,102,90,0,2,0,42,0,46,0.7,0,0.4,0,0
"Bhutan",2020-05-02,102,7,0,0,0,5,0,2,0.9,0,0.3,0,0
"Bolivia",2020-05-02,102,1229,0,66,0,134,0,1029,10.5,0,8.8,33,29
"Bosnia and Herzegovina",2020-05-02,102,1839,58,72,2,779,24,988,56,1.8,30.1,42,34
"Botswana",2020-05-02,102,23,0,1,0,8,0,14,1,0,0.6,0,0
"Brazil",2020-05-02,102,97100,4898,6761,349,40937,2898,49402,45.7,2.3,23.2,51,44
"Brunei",2020-05-02,102,138,0,1,0,126,2,11,31.6,0,2.5,40,0
"Bulgaria",2020-05-02,102,1594,39,72,4,287,11,1235,22.9,0.6,17.8,44,32
"Burkina Faso",2020-05-02,102,652,3,44,0,535,18,73,3.1,0,0.3,40,36
"Burma",2020-05-02,102,151,0,6,0,37,6,108,0.3,0,0.2,14,0
"Burundi",2020-05-02,102,15,4,1,0,7,3,7,0.1,0,0.1,0,0
"Cambodia",2020-05-02,102,122,0,0,0,120,0,2,0.7,0,0,35,0
"Cameroon",2020-05-02,102,2077,245,64,3,953,19,1060,7.8,0.9,4,35,25
"Canada",2020-05-02,102,57926,1583,3684,147,23814,1050,30428,153.5,4.2,80.6,53,44
"Cape Verde",2020-05-02,102,152,30,2,1,18,0,132,27.3,5.4,23.7,7,0
"Central African Republic",2020-05-02,102,72,0,0,0,10,0,62,1.5,0,1.3,0,0
"Chad",2020-05-02,102,117,44,10,5,39,6,68,0.7,0.3,0.4,1,1
"Chile",2020-05-02,102,18435,1427,247,13,9572,554,8616,96.4,7.5,45.1,48,33
